variance,skewness,curtosis,entropy
0.38478,6.5989,-0.3336,-0.56466
3.1541,-5.1711,6.5991,0.57455
2.3969,0.23589,4.8477,1.437
4.7114,2.0755,-0.2702,1.2379
4.0127,10.1477,-3.9366,-4.0728
2.6606,3.1681,1.9619,0.18662
3.931,1.8541,-0.023425,1.2314
0.01727,8.693,1.3989,-3.9668
3.2414,0.40971,1.4015,1.1952
2.2504,3.5757,0.35273,0.2836
-1.3971,3.3191,-1.3927,-1.9948
0.39012,-0.14279,-0.031994,0.35084
-1.6677,-7.1535,7.8929,0.96765
-3.8483,-12.8047,15.6824,-1.281
-3.5681,-8.213,10.083,0.96765
-2.2804,-0.30626,1.3347,1.3763
-1.7582,2.7397,-2.5323,-2.234
-0.89409,3.1991,-1.8219,-2.9452
0.3434,0.12415,-0.28733,0.14654
-0.9854,-6.661,5.8245,0.5461
